codigo,cidade,prefeito,gentilico,area_territorial,populacao_estimada,densidade_demografica,escolarizacao,idhm,mortalidade_infantil,receitas_realizadas,despesas_empenhadas,pib
2300101,Abaiara,AFONSO TAVARES LEITE,abaiarense,180.833,11965,58.69,96.7,0.628,19.87,29043.96,26827.9,9158.04
2300150,Acarape,FRANCISCO EDILBERTO BESERRA BARROSO,acarapense,130.002,15140,98.52,96.8,0.606,5.35,38762.54,36800.47,10317.47
2300200,Acaraú,ANA FLÁVIA RIBEIRO MONTEIRO,acarauense,842.471,63556,68.31,96.8,0.601,5.92,132656.39,109899.3,13261.89
2300309,Acopiara,ANTÔNIO ALMEIDA NETO,acopiarense,2254.279,54687,22.58,97.2,0.595,20.18,153148.71,125356.17,9432.25
2300408,Aiuaba,RAMILSON ARAUJO MORAES,aiuabense,2438.563,17584,6.66,97.5,0.569,15.08,37794.63,33776.93,8642.9
2300507,Alcântaras,JOAQUIM FREIRE CARVALHO,alcantarense,135.76,11846,77.71,97.7,0.6,,28047.78,28990.82,7674.08
2300606,Altaneira,FRANCISCO DARIOMAR RODRIGUES SOARES,altaneirense,72.675,7712,93.54,95.7,0.602,9.43,31688.03,24034.71,8560.21
2300705,Alto Santo,JOSE JOENI HOLANDA DE ARAUJO,alto-santense,1147.208,16077,12.22,96.5,0.601,12.12,40704.75,35934.27,11725.03
2300754,Amontada,FLAVIO CESAR BRUNO TEIXEIRA FILHO,amontadense,1175.044,44195,33.27,97.0,0.606,8.72,104596.02,100940.3,12195.24
2300804,Antonina do Norte,ANTONIO ROSENO FILHO,antonino ou antoninense,259.706,7402,26.85,95.7,0.599,11.11,21091.6,19508.59,9279.79
2300903,Apuiarés,IRIS MARIA CRUZ DE LIMA,apuiareense,543.98,14742,25.54,98.6,0.618,,43151.17,36822.04,7642.48
2301000,Aquiraz,BRUNO BARROS GONÇALVES,aquirazense,480.236,81581,150.5,96.5,0.641,14.23,244006.62,197501.4,42147.15
2301109,Aracati,BISMARCK COSTA LIMA PINHEIRO MAIA,aracatiense,1227.197,75392,56.32,98.5,0.655,9.33,227561.34,185621.26,19713.63
2301208,Aracoiaba,THIAGO CAMPELO NOGUEIRA,aracoiabense,643.988,26600,38.67,96.5,0.615,8.7,66969.9,70353.86,9885.68
2301257,Ararendá,ALEXANDRE FELIX DUTRA,ararendaense,342.301,10983,30.49,98.9,0.59,7.04,30233.22,28244.06,8097.17
2301307,Araripe,CICERO FERREIRA DA SILVA,araripense,1097.339,21707,18.81,96.3,0.564,12.01,69217.32,59671.85,8762.18
2301406,Aratuba,JOERLY RODRIGUES VICTOR,aratubano,119.758,11759,100.44,97.0,0.622,13.51,49123.73,31633.96,13301.76
2301505,Arneiroz,ANTÔNIO MONTEIRO PEDROSA FILHO,arneirozense,1068.437,7848,7.17,97.6,0.618,32.61,11.51,20466.42,8467.35
2301604,Assaré,JOSE LIBORIO LEITE NETO,assareense,1155.124,23537,20.11,96.6,0.6,11.07,52234.57,42903.25,11597.22
2301703,Aurora,MARCONE TAVARES DE LUNA,aurorense,885.87,24567,27.73,97.9,0.605,9.12,52517.28,46765.07,8649.66
2301802,Baixio,JOSÉ HUMBERTO MOURA RAMALHO,baixiense,145.556,6318,41.15,97.9,0.627,,23630.69,21367.09,10232.14
2301851,Banabuiú,FRANCISCO HERMES NOBRE,banabuiense,1080.986,18313,16.03,98.0,0.606,8.13,46068.9,42192.56,11453.61
2301901,Barbalha,GUILHERME SAMPAIO SARAIVA,barbalhense,608.158,61662,97.14,98.3,0.683,6.26,243774.86,227251.72,19552.45
2301950,Barreira,ANTONIO ALAILSON OLIVEIRA SALDANHA,barreirense,260.003,22715,79.63,97.8,0.616,25.28,49562.61,44585.47,9089.71
2302008,Barro,JOSÉ MARQUINÉLIO TAVARES,barrense,711.346,22834,30.22,97.1,0.599,13.7,41340.96,39319.66,9940.27
2302057,Barroquinha,JAIME VERAS SILVA FILHO,barroquinhense,385.583,15069,37.76,97.9,0.571,4.9,39700.27,35936.4,8169.54
2302107,Baturité,HERBERLH FREITAS REIS CAVALCANTE MOTA,baturiteense,314.075,36127,107.98,95.9,0.619,16.39,74220.67,67628.89,11616.09
2302206,Beberibe,MICHELE CARIELLO DE SÁ QUEIROZ ROCHA,beberibense,1596.751,54315,30.37,98.2,0.638,17.27,119759.0,114373.58,17933.94
2302305,Bela Cruz,JOSE OTACILIO DE MORAIS NETO,bela-cruzense,842.106,32851,36.63,98.9,0.623,23.32,54874.52,54813.93,8152.92
2302404,Boa Viagem,JOSE CARNEIRO DANTAS FILHO,boa-viagense,2835.037,54680,18.51,97.6,0.598,10.84,103721.38,98299.87,9284.37
2302503,Brejo Santo,MARIA GISLAINE SANTANA SAMPAIO LANDIM,brejo-santense,654.658,50195,68.12,92.5,0.647,10.23,170601.24,147722.77,14200.26
2302602,Camocim,MARIA ELIZABETE MAGALHAES,camocimense,1120.452,64147,53.48,97.8,0.62,12.63,184054.12,163720.78,11558.46
2302701,Campos Sales,JOÃO LUIZ LIMA SANTOS,campos-salense,1082.582,27513,24.48,98.3,0.63,21.21,72422.31,64018.71,11256.58
2302800,Canindé,MARIA DO ROSÁRIO ARAÚJO PEDROSA XIMENES,canindeense,3032.39,77484,23.14,97.5,0.612,12.46,208998.69,198932.37,12879.01
2302909,Capistrano,ANTONIO SOARES SARAIVA JUNIOR,capistranense,226.549,17830,76.67,96.3,0.611,12.05,44410.43,47389.12,10611.27
2303006,Caridade,MARIA AMANDA LOPES COSTA,caridadense,926.271,23011,23.65,97.3,0.592,18.87,42361.99,44059.93,7855.74
2303204,Caririaçu,JOSÉ EDMILSON LEITE BARBOSA,caririaçuense,634.179,27008,42.33,96.1,0.578,5.05,59523.76,55442.1,9186.37
2303105,Cariré,ANTONIO RUFINO MARTINS,carireense,755.597,18470,24.24,97.9,0.596,7.87,51159.84,45628.32,9460.38
2303303,Cariús,ANTONIO WILAMAR PALACIO DE OLIVEIRA,cariuense,1036.417,18700,17.49,97.1,0.597,17.75,43117.01,38533.9,8778.94
2303402,Carnaubal,JOSE WELITON SOUZA LEITE,carnaubalense,363.22,17763,45.9,97.1,0.593,8.89,44401.0,39292.33,8613.36
2303501,Cascavel,TIAGO LUTIANI OLIVEIRA RIBEIRO,cascavelense,838.115,72706,78.99,96.7,0.646,2.98,157576.14,146954.71,13215.06
2303600,Catarina,THIAGO PAES DE ANDRADE RODRIGUES,catarinense,488.153,21041,38.5,94.3,0.618,7.41,48412.86,40082.54,6695.21
2303659,Catunda,RAVENNA FERNANDES GOMES MESQUITA LIMA,catundense,784.022,10410,12.59,98.7,0.609,9.62,30300.19,29143.06,10064.47
2303709,Caucaia,VITOR PEREIRA VALIM,caucaiense,1223.246,368918,264.91,96.3,0.682,12.88,629854.17,567292.53,19873.31
2303808,Cedro,JOÃO BATISTA DINIZ,cedrense,729.97,25612,33.79,97.5,0.627,11.11,73911.85,51532.52,8835.04
2303907,Chaval,SEBASTIÃO SOTERO VERAS,chavalense,237.248,13112,52.95,97.4,0.586,6.02,28808.15,30309.63,7770.61
2303956,Chorozinho,FRANCISCO DE CASTRO MENEZES JÚNIOR,chorozinhense,296.431,20286,67.94,97.4,0.604,11.11,53830.4,47230.75,16662.27
2303931,Choró,MARCONDES DE HOLANDA JUCÁ,choroense,815.268,13608,15.76,97.2,0.585,14.18,39483.62,32665.66,12734.33
2304004,Coreaú,JOSE EDEZIO VAZ DE SOUZA,coreauense,750.332,23340,28.3,97.5,0.61,3.08,51937.12,47475.59,8215.03
2304103,Crateús,MARCELO FERREIRA MACHADO,crateuense,2981.459,75241,24.39,97.5,0.644,13.25,140243.49,139963.52,11910.99
2304202,Crato,JOSÉ AILTON DE SOUSA BRASIL,cratense,1138.15,133913,103.21,97.8,0.713,10.0,263007.66,226354.59,12922.73
2304236,Croatá,RONILSON FRANCISCO DE OLIVEIRA,croataense,696.348,18201,24.49,97.4,0.59,19.53,44431.22,43136.47,11348.0
2304251,Cruz,JOÃO MUNIZ SOBRINHO,cruzense,335.921,25121,68.13,98.5,0.632,9.09,66832.46,53862.87,11839.21
2304269,Deputado Irapuan Pinheiro,FRANCISCO GILDECARLOS PINHEIRO,irapuense,471.134,9698,19.33,99.3,0.609,,28587.71,24445.95,9105.25
2304277,Ereré,FRANCISCO OTONI DE QUEIROZ MOURA,erereense,362.906,7254,17.87,98.0,0.61,27.78,20139.95,19068.06,9259.84
2304285,Eusébio,ACILON GONÇALVES PINTO JUNIOR,eusebiano,78.818,55035,582.66,98.3,0.701,9.17,281098.32,251597.09,58604.18
2304301,Farias Brito,FRANCISCO AUSTRAGEZIO SALES,farias-britense,530.54,19330,37.74,99.3,0.633,28.93,51471.4,44726.55,10748.94
2304350,Forquilha,EDINARDO RODRIGUES FILHO,forquilhense,568.778,24680,42.14,96.4,0.644,,59852.26,55357.42,10153.68
2304400,Fortaleza,JOSÉ SARTO NOGUEIRA MOREIRA,fortalezense,312.353,2703391,7786.44,96.1,0.754,12.02,6810527.07,6525657.82,24253.93
2304459,Fortim,NASELMO DE SOUSA FERREIRA,fortinense,285.024,16776,53.15,97.5,0.624,16.39,46215.47,41449.76,14311.56
2304509,Frecheirinha,HELTON LUIS AGUIAR JUNIOR,frecheirinhense,210.284,14195,71.68,97.8,0.604,21.9,44426.33,38675.59,16530.18
2304608,General Sampaio,FRANCISCO CORDEIRO MOREIRA,sampaiense,230.371,7767,30.21,96.2,0.568,9.26,24583.98,25385.04,10022.93
2304707,Granja,JULIANA FROTA LOPES DE ALDIGUERI ARRUDA,granjense,2663.174,55170,19.52,94.7,0.559,6.37,107204.8,106091.79,7976.43
2304806,Granjeiro,FRANCISCO CLEMENTINO DE ALMEIDA,granjeirense,111.528,4784,46.23,98.8,0.585,27.4,16.64,16804.49,9762.29
2304657,Graça,MARIA IRALDICE DE ALCÂNTARA,gracense,258.942,14415,53.39,99.1,0.57,22.22,50466.39,45677.85,8107.93
2304905,Groaíras,ADAIL ALBUQUERQUE MELO,groairense,155.681,11219,65.59,97.9,0.633,20.55,30387.53,28903.84,8666.22
2304954,Guaiúba,IZABELLA MARIA FERNANDES DA SILVA,guaiubano,256.053,26508,90.19,94.2,0.617,3.24,55147.27,51599.0,8231.8
2305001,Guaraciaba do Norte,ANTONIO ADAIL MACHADO CASTRO,guaraciabense,624.606,40921,61.78,97.7,0.609,9.1,105405.88,90370.31,15609.13
2305100,Guaramiranga,ROBERLANDIA FERREIRA CASTELO BRANCO,guaramiranguense,90.817,5073,70.06,97.6,0.637,,32183.19,20840.77,14182.54
2305209,Hidrolândia,IRES MOURA OLIVEIRA,hidrolandense,926.592,20126,19.99,98.0,0.597,12.5,40945.08,37985.57,8390.94
2305233,Horizonte,MANOEL GOMES DE FARIAS NETO,horizontino,160.557,69688,344.96,97.1,0.658,9.7,193783.18,175778.48,25074.33
2305266,Ibaretama,ELIRIA MARIA FREITAS DE QUEIROZ,ibaretamense,879.255,13385,14.73,95.4,0.577,5.49,28682.81,28828.39,9285.37
2305308,Ibiapina,MARCOS ANTONIO DA SILVA LIMA,ibiapinense,414.092,25165,57.38,98.5,0.608,2.61,51973.94,46606.54,13413.88
2305332,Ibicuitinga,FRANCISCO JOSÉ MAGALHÃES CARNEIRO,ibicuitinguense,423.856,12730,26.72,97.9,0.606,,32884.87,28419.82,8893.02
2305357,Icapuí,RAIMUNDO LACERDA FILHO,icapuiense,421.44,20183,43.43,96.8,0.616,3.77,93890.54,82328.17,18804.37
2305407,Icó,ANA LAÍS PEIXOTO CORREIA NUNES,icoense,1865.862,68303,34.97,96.7,0.606,6.01,121888.33,120450.04,9974.63
2305605,Independência,JOSE VALDI COUTINHO,independenciano,3222.381,26196,7.95,97.6,0.632,16.61,50895.19,47668.26,11360.79
2305654,Ipaporanga,ANTONIO AMARO PEREIRA OLIVEIRA,ipaporanguense,704.773,11597,16.16,97.2,0.579,7.75,31035.33,31543.56,8278.73
2305704,Ipaumirim,WILSON ALVES DE FREITAS,ipaumirinense,276.508,12507,43.86,96.7,0.606,8.62,26749.06,26533.51,10722.96
2305803,Ipu,ROBERIO WAGNER MARTINS MOREIRA,ipuense,626.049,42148,64.03,97.3,0.618,7.23,95058.01,85477.95,11170.26
2305902,Ipueiras,FRANCISCO SOUTO DE VASCONCELOS JÚNIOR,ipueirense,1483.258,38064,25.63,98.1,0.573,9.56,85184.01,78943.66,8142.13
2306009,Iracema,CELSO GOMES DA SILVA NETO,iracemense,839.174,14351,16.71,98.0,0.652,11.76,43144.92,43284.8,12240.15
2306108,Irauçuba,PATRÍCIA MARIA SANTOS BARRETO,irauçubense,1466.412,24450,15.28,95.2,0.605,16.44,57618.58,51199.17,7899.33
2306207,Itaiçaba,FRANK GOMES FREITAS,itaiçabense,213.604,7904,34.49,99.5,0.656,10.99,24405.75,21829.32,9726.35
2306306,Itapajé,MARIA GORETE BARROSO MAGALHAES CAETANO,itapajeense,432.188,53448,110.01,97.1,0.623,4.55,113391.49,101400.18,10655.6
2306405,Itapipoca,FELIPE SOUZA PINHEIRO,itapipoquense,1600.358,131687,71.9,97.9,0.64,14.95,268626.66,239926.55,12210.38
2306504,Itapiúna,FRANCISCO DÁRIO DE OLIVEIRA COELHO,itapiunense,593.231,20653,31.64,95.3,0.604,4.93,65456.74,45448.28,7944.2
2306553,Itarema,ELIZEU CHARLES MONTEIRO,itaremense,714.833,42595,52.0,96.6,0.606,12.61,100102.24,93239.96,16498.65
2306603,Itatira,JOSÉ FERREIRA MATEUS,itatirense,829.626,22018,24.12,97.6,0.562,9.4,76025.84,60600.42,7302.96
2306702,Jaguaretama,FRANCISCO GLAIRTON RABELO CUNHA,jaguaretamense,1826.826,18133,10.15,96.7,0.612,4.44,49201.83,35976.64,11306.81
2306801,Jaguaribara,JOACY ALVES DOS SANTOS JUNIOR,jaguaribarense,622.963,11580,15.55,97.4,0.618,29.2,28167.84,26656.01,12327.89
2306900,Jaguaribe,ALEXANDRE GOMES DIOGENES,jaguaribano,1877.062,34592,18.33,96.4,0.621,22.17,85507.21,82644.16,16054.82
2307007,Jaguaruana,ROBERTO BARBOSA MOREIRA,jaguaruanense,854.362,33960,37.16,98.4,0.624,8.5,69049.42,69046.52,14165.41
2307106,Jardim,ANIZIARIO JORGE COSTA,jardinense,544.98,27187,48.31,98.4,0.614,9.01,58468.87,52203.51,9576.9
2307205,Jati,MONICA ROSANY PEREIRA MARIANO,jatiense,368.359,8150,21.21,98.1,0.651,,32089.96,28222.36,14536.25
2307254,Jijoca de Jericoacoara,LINDBERGH MARTINS,jijoquense,209.029,20351,83.02,98.8,0.652,12.76,62313.17,60923.79,21191.38
2307304,Juazeiro do Norte,GLÊDSON LIMA BEZERRA,juazeirense,258.788,278264,1004.45,97.3,0.694,13.56,672950.29,522709.24,17354.57
2307403,Jucás,JOSE EDSONRIVA SOUZA CUNHA,jucaense,940.336,24949,25.4,97.5,0.598,7.04,55718.34,53527.8,11072.76
2307502,Lavras da Mangabeira,RONALDO PEDROSA LIMA,lavrense ou lavraense,945.263,31476,32.8,97.2,0.613,14.97,67220.81,56816.99,9065.59
2307601,Limoeiro do Norte,JOSÉ MARIA DE OLIVEIRA LUCENA,limoeirense,744.525,60232,74.91,98.0,0.682,8.21,115645.25,106746.35,20414.96
2307635,Madalena,MARIA SÔNIA DE OLIVEIRA COSTA,madalenense,997.781,20031,17.48,98.3,0.61,17.14,41301.98,39124.63,8115.58
2307650,Maracanaú,ROBERTO SOARES PESSOA,maracanauense,105.071,230986,1960.25,97.4,0.686,9.43,724429.98,657108.1,43116.46
2307700,Maranguape,ATILA CORDEIRO CAMARA,maranguapense,583.505,131677,192.19,94.9,0.659,12.08,197385.58,193904.07,11511.56
2307809,Marco,ROGER NEVES AGUIAR,marquense,573.61,27822,43.03,97.4,0.612,23.68,64664.24,57587.69,12396.07
2307908,Martinópole,FRANCISCO FONTENELE JUNIOR,martinolopolitano ou martinolopense,303.445,11407,34.16,97.8,0.599,5.29,30155.02,29615.54,7862.38
2308005,Massapê,ALINE AGUIAR ALBUQUERQUE,massapeense,567.78,39341,62.11,98.3,0.616,20.34,101272.16,81630.43,8202.32
2308104,Mauriti,ISAAC GOMES DA SILVA JUNIOR,mauritiense,1079.011,48370,42.15,98.1,0.605,22.22,88623.54,87085.54,9811.91
2308203,Meruoca,JOSÉ HERTON ALVES DE SOUSA,meruoquense,151.651,15309,91.38,97.8,0.618,10.42,40227.84,35949.36,7904.84
2308302,Milagres,CÍCERO ALVES DE FIGUEIREDO,milagrense,579.097,27413,46.69,96.2,0.628,23.05,62154.82,53491.72,10086.12
2308351,Milhã,LUIZ ALAN PINHEIRO MACÊDO,milhaense,502.137,13129,26.05,97.5,0.626,21.43,35731.75,31509.0,12821.42
2308377,Miraíma,ANTONIO EDNARDO BRAGA LIMA FILHO,miraimense,708.678,13965,18.29,98.6,0.592,5.29,31540.71,31469.48,7289.46
2308401,Missão Velha,DIEGO GONDIM FEITOSA,missãovelhense,613.317,35566,53.08,96.8,0.622,12.09,75644.03,68822.84,12954.13
2308500,Mombaça,ORLANDO BENEVIDES CAVALCANTE FILHO,mombacense,2115.748,43917,20.14,96.4,0.582,12.77,82316.49,75706.99,9398.42
2308609,Monsenhor Tabosa,FRANCISCO SALOMÃO DE ARAÚJO SOUSA,taboense,892.538,17264,18.85,99.2,0.61,24.75,44058.07,43438.92,8588.52
2308708,Morada Nova,JOSÉ VANDERLEY NOGUEIRA,morada-novense,2763.971,61590,22.33,97.6,0.61,11.58,138124.48,127183.75,18928.48
2308807,Moraújo,CARLOS ÁQUILA CUNHA DE QUEIROZ,moraujense,414.446,8833,19.42,97.4,0.581,8.93,22274.27,21764.31,8200.94
2308906,Morrinhos,JERONIMO NETO BRANDÃO,morrinhense,411.586,22830,49.81,95.1,0.588,21.02,50690.4,43150.09,7635.05
2309003,Mucambo,FRANCISCO DAS CHAGAS PARENTE AGUIAR,mucambense,192.19,14561,73.99,98.6,0.607,11.63,38188.35,34550.9,8005.56
2309102,Mulungu,ROBERT VIANA LEITÃO,mulunguense,97.951,11056,85.35,96.9,0.607,7.04,34670.52,26115.93,11284.98
2309201,Nova Olinda,ÍTALO BRITO ALENCAR ALVES,nova-olindense,282.584,15798,50.13,97.3,0.625,20.0,46687.1,38351.07,10153.43
2309300,Nova Russas,GIORDANNA SILVA BRAGA MANO,nova-russano,736.911,32487,41.69,98.0,0.614,13.55,61813.48,57297.45,9556.58
2309409,Novo Oriente,JESUINO RODRIGUES DE SAMPAIO NETO,novorientense,947.44,28737,28.92,97.9,0.605,3.04,59518.62,54123.87,8921.11
2309458,Ocara,AMALIA LOPES DE SOUSA,ocarense,763.075,25958,31.36,98.2,0.594,10.95,60494.66,53834.8,8912.68
2309508,Orós,JOSÉ RUBENS LIMA VERDE,oroense,577.526,21342,37.12,97.4,0.636,27.03,49148.47,46212.78,9316.89
2309607,Pacajus,BRUNO PEREIRA FIGUEIREDO,pacajuense,250.304,74145,243.0,98.2,0.659,7.61,130640.47,115063.05,16100.81
2309706,Pacatuba,CARLOMANO GOMES MARQUES,pacatubano,133.236,85647,547.74,94.6,0.675,9.32,155367.74,143992.76,13059.07
2309805,Pacoti,MARCOS VENICIOS NORJOSA GONZAGA,pacotiense,112.433,12313,103.61,96.5,0.635,24.79,33058.45,30571.84,11105.2
2309904,Pacujá,RAIMUNDO RODRIGUES DE SOUSA FILHO,pacujaense,88.355,6565,78.63,98.5,0.621,,25845.92,19807.4,8413.7
2310001,Palhano,IVANILDO NUNES DA SILVA,palhanense,436.98,9458,20.13,98.1,0.638,24.39,23889.6,21230.17,9874.25
2310100,Palmácia,DAVID CAMPOS MARTINS,palmaciano,128.896,13553,101.9,91.7,0.622,,22.16,23779.59,8725.16
2310209,Paracuru,WEMBLEY GOMES COSTA,paracuruense,304.734,35526,105.35,97.2,0.637,13.18,117339.3,98096.47,14633.22
2310258,Paraipaba,ARIANA CORDEIRO FAÇANHA DE AQUINO,paraipabense,289.231,33232,99.83,97.8,0.634,4.24,8947.83,65060.17,14755.89
2310308,Parambu,ROMULO MATEUS NORONHA,parambuense,2313.868,31391,13.59,96.6,0.57,12.11,68411.84,65099.23,8334.36
2310407,Paramoti,ANTONIA TELVÂNIA FERREIRA BRAZ,paramotiense,539.238,12276,23.43,98.7,0.583,17.24,46031.13,38441.85,9015.57
2310506,Pedra Branca,ANTONIO GOIS MONTEIRO MENDES,pedra-branquense,1302.081,43359,32.14,98.1,0.603,6.3,82925.93,81111.08,8675.86
2310605,Penaforte,RAFAEL FERREIRA ANGELO,penafortense,150.536,9207,57.96,96.7,0.646,5.68,31652.89,27208.09,12715.18
2310704,Pentecoste,JOÃO BOSCO PESSOA TABOSA,pentecostense,1379.836,38045,25.68,97.3,0.629,7.81,82670.47,77568.3,12798.17
2310803,Pereiro,RAIMUNDO ESTEVAM NETO,pereirense,435.868,16356,36.35,97.9,0.601,10.42,39968.77,33925.6,25214.91
2310852,Pindoretama,JOSÉ MARIA MENDES LEITE,pindoretamense,74.033,20964,256.06,97.6,0.636,22.36,54134.14,50810.23,12189.47
2310902,Piquet Carneiro,BISMARCK BARROS BEZERRA,piquet-carneirense,589.601,17210,26.31,96.0,0.6,25.0,40085.45,37094.36,8868.11
2310951,Pires Ferreira,LÍVIA MARIA MESQUITA MORORO MUNIZ MARQUES,pires-ferreirense,244.464,11052,42.02,96.8,0.591,21.28,31064.2,27798.3,7211.45
2311009,Poranga,CARLOS ANTONIO RODRIGUES PEREIRA,poranguense,1310.771,12358,9.17,98.8,0.581,6.21,32651.07,32252.55,7880.61
2311108,Porteiras,FABIO PINHEIRO CARDOSO,porteirense,224.86,14920,69.22,97.6,0.622,8.37,42013.58,37198.79,11189.65
2311207,Potengi,FRANCISCO EDSON VERIATO DA SILVA,potengiense,343.264,11165,30.34,92.7,0.562,17.54,31761.26,28826.42,9353.64
2311231,Potiretama,LUAN DANTAS FELIX,potiretamense,409.137,6455,14.93,98.0,0.604,14.71,23759.35,23358.35,13429.39
2311264,Quiterianópolis,FRANCISCA PRISCILLA DUARTE DE FIGUEIREDO,quiterianopolense,1041.832,21246,19.14,98.5,0.594,13.16,50000.36,47607.43,8083.4
2311306,Quixadá,RICARDO JOSÉ ARAÚJO SILVEIRA,quixadaense,2020.586,88899,39.91,95.8,0.659,21.31,176579.5,166205.08,11973.46
2311355,Quixelô,JOSE ADIL VIEIRA JUNIOR,quixeloense,605.345,16116,26.81,97.8,0.591,26.88,1022.7,37344.89,10482.81
2311405,Quixeramobim,CIRILO ANTÔNIO PIMENTA LIMA,quixeramobinense,3324.987,82455,21.95,96.7,0.642,10.62,177264.12,180081.1,14474.59
2311504,Quixeré,ANTÔNIO JOAQUIM GONÇALVES DE OLIVEIRA,quixereense,613.099,22432,31.69,97.5,0.622,15.21,54896.31,51231.5,20554.63
2311603,Redenção,DAVID SANTA CRUZ BENEVIDES,redencionista,247.989,29238,117.24,98.1,0.626,9.07,71514.4,60338.75,13216.42
2311702,Reriutaba,PEDRO HUMBERTO COELHO MARQUES,reriutabense,372.949,18279,50.75,96.7,0.601,8.7,45570.46,45448.71,9707.05
2311801,Russas,SÁVIO GURGEL NOGUEIRA,russano,1611.091,79550,43.91,97.2,0.674,5.38,163456.79,151800.0,13451.37
2311900,Saboeiro,MARCONDES HERBSTER FERRAZ,saboeirense,1381.274,15757,11.39,97.1,0.575,6.1,38364.08,33403.25,9553.0
2311959,Salitre,DORGIVAL PEREIRA FILHO,salitrense,806.253,16714,19.21,97.3,0.54,14.13,42585.35,41896.7,8826.75
2312205,Santa Quitéria,JOSÉ BRAGA BARROZO,quiteriense,4262.293,43719,10.04,97.6,0.616,9.63,87598.63,80916.41,12171.26
2312007,Santana do Acaraú,FRANCISCO DAS CHAGAS MENDES,santanense-do-acaraú,972.573,32851,30.89,95.4,0.587,27.33,60165.6,59824.66,7884.31
2312106,Santana do Cariri,SAMUEL CIDADE WERTON,santanense-do-cariri,855.165,17726,20.07,97.9,0.612,8.2,57498.65,50533.47,8437.24
2312700,Senador Pompeu,ANTÔNIO MAURÍCIO PINHEIRO JUCÁ,pompeuense,956.882,25418,26.41,96.4,0.619,11.58,58035.98,52551.18,12366.24
2312809,Senador Sá,JOSE MARTINS BARROS JUNIOR,senadorsaense,424.642,7758,16.16,98.2,0.603,9.09,16444.74,21791.74,7683.23
2312908,Sobral,IVO FERREIRA GOMES,sobralense,2068.474,212437,88.67,97.9,0.714,10.62,620503.26,574656.94,21343.1
2313005,Solonópole,ANA VLADIA NOGUEIRA PINHEIRO JUCÁ,solonopolense,1535.855,18389,11.5,98.6,0.625,6.41,54727.69,49746.31,12957.31
2312304,São Benedito,SAUL LIMA MACIEL,beneditense,350.847,48354,130.61,98.1,0.611,9.13,107397.29,92516.12,12371.4
2312403,São Gonçalo do Amarante,MARCELO FERREIRA TELES,gonçalense,842.635,49306,52.6,98.1,0.665,7.26,252306.83,219614.33,83473.11
2312502,São João do Jaguaribe,RAIMUNDO CESAR MORAIS MAIA,jaguaribense,279.451,7557,28.17,99.2,0.654,,21311.31,18661.54,13595.79
2312601,São Luís do Curu,FRANCISCO CIPRIANO DE ALMEIDA,curuense,122.865,13086,100.74,95.4,0.62,,29335.09,24687.03,8962.27
2313104,Tabuleiro do Norte,RILDSON RABELO VASCONCELOS,tabuleirense,1047.637,32079,33.89,97.4,0.645,14.33,60758.97,53068.85,12346.84
2313203,Tamboril,LUIZ MARCELO MOTA LEITE,tamborilense,2014.543,26199,12.98,97.1,0.58,21.54,73205.89,68105.23,9964.35
2313252,Tarrafas,TERTULIANO CANDIDO MARTINS DE ARAUJO,tarrafense,412.719,8555,19.61,96.8,0.576,9.71,22118.17,22655.94,10406.07
2313302,Tauá,PATRÍCIA PEQUENO COSTA GOMES DE AGUIAR,tauaense,4010.618,59259,13.87,97.7,0.633,14.8,136028.14,135713.3,11605.35
2313351,Tejuçuoca,JOSE ANTUNIZIO DE BRITO,tejuçuoquense,758.707,19551,22.42,98.3,0.584,29.41,51853.42,43425.04,6958.53
2313401,Tianguá,LUIZ MENEZES DE LIMA,tianguaense,909.853,77111,75.8,98.0,0.657,7.03,152865.85,148371.09,21137.06
2313500,Trairi,CARLOS GUSTAVO MONTEIRO MOREIRA,trairiense,928.725,56653,55.55,98.1,0.606,4.68,109451.09,107186.92,14795.09
2313559,Tururu,FRANCISCA HILZETE MALVEIRA BATISTA,tururuense,201.27,16588,71.23,96.2,0.606,7.91,38075.48,31969.74,7430.37
2313609,Ubajara,RENÊ DE ALMEIDA VASCONCELOS,ubajarense,423.673,35295,75.5,98.7,0.648,18.15,84777.9,63907.04,17903.87
2313708,Umari,ALEX SANDRO RUFINO FERREIRA,umariense,263.183,7740,28.59,96.5,0.591,,203.82,18511.26,8338.92
2313757,Umirim,FELIPE CARLOS UCHÔA SALES RIBEIRO,umiriense,315.648,19976,59.35,95.6,0.587,14.44,62155.6,45115.42,8030.88
2313807,Uruburetama,FRANCISCO ALDIR CHAVES DA SILVA,uruburetamense,99.4,22223,203.61,95.9,0.639,14.16,46252.58,42868.59,12349.85
2313906,Uruoca,JAN KENNEDY PAIVA AQUINO,uruoquense,697.683,13988,18.49,97.7,0.566,18.52,36175.66,34549.31,13874.25
2313955,Varjota,FRANCISCO ELMO BEZERRA MONTE,varjotense,179.239,18520,98.07,96.6,0.611,7.41,51275.61,47814.73,19390.59
2314003,Várzea Alegre,JOSÉ HELDER MÁXIMO DE CARVALHO,varzea-alegrense,829.976,41078,45.99,97.0,0.629,10.68,79368.16,71300.3,10609.61
2314102,Viçosa do Ceará,JOSE FIRMINO DE ARRUDA,viçosense,1310.91,61916,41.9,96.9,0.571,8.14,126024.79,104188.07,8262.9
